ID,학명,대표이름,이미지,다른이름,인기도,난이도,빛요구,물주기간격,물주기신호,갈증신호,휴면기,실내최저온도,실내최고온도,자연최저온도,자연최고온도,최소습도,최대습도,내한성구역최소,내한성구역최대,수명,서식지,심는시기,아기독성,고양이독성,강아지독성,햄스터독성
2221,Chamaedorea elegans,Parlor palm,https://d2fwaet2smbydf.cloudfront.net/species/BVA9gQjC_-3kwaDi_OQ7R.jpg,Neanthe bella palm,6,쉬움,햇살이 드는 실내|식물 조명 빛을 받아요,10,the top 2-3 inches of soil is dry,,,21,25,8,40,40,70,,,다년생,America,,false,false,false,false
4476,"Scindapsus pictus, officinalis",Satin pothos,,,,쉬움,햇살이 없지만 밝은 실내|햇빛이 없고 어두운 실내,7,,"Leaf drooping, wilting, wrinkled",,18,26,8,42,50,70,,,다년생,Southeast Asia,,true,true,true,true
6968,Ficus sarmentosa,Nepal fig,https://d2fwaet2smbydf.cloudfront.net/species/1Z_nzEoi5feQjUWTxm_7P.jpg,,,쉬움,햇살이 드는 실내|식물 조명 빛을 받아요,,,,,18,25,-12,42,40,70,6,13,다년생,Asia,,false,false,true,true
9720,Hedera helix,English ivy,,European ivy|Ivy,,쉬움,햇살이 드는 실내|식물 조명 빛을 받아요,7,the top 2-3 inches of soil is dry,,겨울,16,20,-7,40,40,70,,,다년생,Europe,,true,true,true,true
13850,Breynia disticha,Snowbush,,Foliage flower|Hawaiian-leaf Flower|Calico Plant,78,어려움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,,,,18,25,3,40,40,70,,,다년생|한해살이,Southeast Asia,Late spring|Early summer,false,false,false,false
21458,Epipremnum aureum,Golden pothos,https://d2fwaet2smbydf.cloudfront.net/species/bv86lNImeFKRwE3dNc9.jpg,,2,,,,,,,,,,,,,,,,,,false,false,false,false
24103,Salvia rosmarinus,Rosemary,https://d2fwaet2smbydf.cloudfront.net/species/izfMnHG38nTt8gJQE2k.jpg,,10,,,,,,,,,,,,,,,,,,false,false,false,false
25578,Chamaecyparis obtusa,,,,,,,,,,,,,,,,,,,,,,false,false,false,false
25593,Olea europaea,Olive,https://d2fwaet2smbydf.cloudfront.net/species/S8GjVkLh39qm-GLaSFs.jpg,Indian olive|Wild-olive,5,어려움,햇살이 드는 창문 앞|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,23,,,40,70,,,,Mediterranean,,false,false,false,false
25608,Pachira aquatica,Money tree,https://d2fwaet2smbydf.cloudfront.net/species/94wlvB2Cipxq8UoDcGX.jpg,,20,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,21,25,,,40,70,,,,South America,,false,false,false,false
25609,Dracaena trifasciata Prain.,,https://d2fwaet2smbydf.cloudfront.net/species/BYYdPwTlHGtMxI4Drnn.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|햇살이 없지만 밝은 실내|햇빛이 없고 어두운 실내|식물 조명 빛을 받아요,14,The soil should be at least 90% dry before watering again. this means about every 2 weeks in the warm season and about every 4 weeks in the cold season,leaves look a little wrinkled,,21,25,,,40,70,,,,Africa,,false,false,false,false
25610,Schefflera arboricola,,https://d2fwaet2smbydf.cloudfront.net/species/i5DmqOuQ9MVRjy0Vqqz.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|햇살이 없지만 밝은 실내|햇빛이 없고 어두운 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,21,25,,,40,70,,,,Asia,,false,false,false,false
25612,Sophora prostrata,Prostrate kowhai,https://d2fwaet2smbydf.cloudfront.net/species/VVfmVLdgxC2pyw3rK9Y.jpg,,22,어려움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,10,24,,,40,70,,,,New Zealand,,false,false,false,false
25632,Coffea arabica,Arabian coffee,https://d2fwaet2smbydf.cloudfront.net/species/Kkg9PS9Y5GgkP5SQjyG.jpg,,40,쉬움,햇살이 드는 창문 앞|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,15,24,,,40,70,,,,Africa,,false,false,false,false
25633,plectranthus tomentosa,Spurflowers,https://d2fwaet2smbydf.cloudfront.net/species/f5Edml_1Jg4jmzHSEA4.jpg,,,보통,햇살이 드는 실내|햇살이 없지만 밝은 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,20,28,,,40,70,,,,Central America,,false,false,false,false
25644,Stephania erecta,,https://d2fwaet2smbydf.cloudfront.net/species/DQDH3BxEyeQhf3LRY_g.jpg,,,보통,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,10,20,,,40,70,,,,Africa,,false,false,false,false
25645,Tillandsia usneoides,Spanish moss,https://d2fwaet2smbydf.cloudfront.net/species/eG4dncxXtkP5ofJ9Ah1.jpg,,60,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,,,,21,25,,,40,70,,,,New Zealand,,false,false,false,false
25664,Philodendron hederaceum var oxycardium Brasil,Heartleaf philodendron,https://d2fwaet2smbydf.cloudfront.net/species/852aWC6A3WJUtn1P2i3.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,21,25,,,40,70,,,,South America,,false,false,false,false
25669,Philodendron mayoi E.G.Gon.,,https://d2fwaet2smbydf.cloudfront.net/species/1j2Sa75-wwHmuw3-xmF.jpg,,,보통,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,24,,,40,70,,,,Central South America,,false,false,false,false
25701,Hedera helix Heart,English ivy,https://d2fwaet2smbydf.cloudfront.net/species/nTPrwz-91ulTFRf6ffQ.jpg,,,쉬움,햇살이 없지만 밝은 실내|햇빛이 없고 어두운 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,10,20,,,40,70,,,,Europe,,false,false,false,false
25706,Rhipsalis baccifera,,https://d2fwaet2smbydf.cloudfront.net/species/i62_egQooXTYEWkgmgK.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,14,The soil should be at least 90% dry before watering again. this means about every 2 weeks in the warm season and about every 4 weeks in the cold season,"look a little pale, wrinkled or shriveled.",,15,30,,,40,70,,,,Africa,,false,false,false,false
25775,Tillandsia ionantha,Air plant,https://d2fwaet2smbydf.cloudfront.net/species/ZVMWF0_1okgJf5tuXYj.jpg,,27,쉬움,햇살이 없지만 밝은 실내|햇빛이 없고 어두운 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,16,26,,,40,70,,,,North America,,false,false,false,false
25787,Philodendron Melanochrysum,Black gold philodendron,https://d2fwaet2smbydf.cloudfront.net/species/RifU2fxvjGdbOVYkAwy.jpg,,,보통,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,24,,,70,,,,,Asia,,false,false,false,false
25793,Scindapsus pictus Argyraeus,Satin pothos,https://d2fwaet2smbydf.cloudfront.net/species/3Pt-TZjVPt2bH-tbgwN.jpg,,62,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|햇살이 없지만 밝은 실내|햇빛이 없고 어두운 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,26,,,50,70,,,,South East Asia,,false,false,false,false
25839,Syngonium Podophyllum 'Milk Confetti',Arrowhead plant,https://d2fwaet2smbydf.cloudfront.net/species/xx1PncyXSrrvtLGWeeI.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,16,21,,,40,70,,,,America,,false,false,false,false
25847,Drimia Intricata,,https://d2fwaet2smbydf.cloudfront.net/species/hcd6rD1ox0xua9-XhCO.jpg,,,어려움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,14,The soil should be at least 90% dry before watering again. this means about every 2 weeks in the warm season and about every 4 weeks in the cold season,leaves look a little wrinkled,,18,25,,,40,70,,,,South Africa,,false,false,false,false
25918,Syngonium podophyllum,Arrowhead plant,https://d2fwaet2smbydf.cloudfront.net/species/9WUZzJzTIn8EUCybUUr.jpg,,35,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|햇살이 없지만 밝은 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,Central America,,false,false,false,false
25942,Epipremnum aureum 'Manjula',Golden pothos,https://d2fwaet2smbydf.cloudfront.net/species/yGakjXy-jfeOAyoDPAO.jpg,,,보통,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,Australia,,false,false,false,false
25966,Philodendron burle marx Variegata,,https://d2fwaet2smbydf.cloudfront.net/species/v6vqf6aEjoE47eojRQi.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,South America,,false,false,false,false
26012,Adenium obesum,Desert rose,https://d2fwaet2smbydf.cloudfront.net/species/gkNCwthlsU7GAGPkPhm.jpg,,94,보통,햇살이 드는 창문 앞|식물 조명 빛을 받아요,14,The soil should be at least 90% dry before watering again. this means about every 2 weeks in the warm season and about every 4 weeks in the cold season,leaves look a little wrinkled,,18,25,,,40,60,,,,South Africa,,false,false,false,false
26042,Philodendron paraiso verde,Philadelphus tenuifolius,https://d2fwaet2smbydf.cloudfront.net/species/IWOWYGeMbMrgmGZpl9D.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,South America,,false,false,false,false
26045,Anthurium vittariifolium,,https://d2fwaet2smbydf.cloudfront.net/species/3Zf_v0eIMEDWaDE0Z2W.jpg,,,어려움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,50,80,,,,North America,,false,false,false,false
26094,Philodendron hederaceum,Heartleaf philodendron,https://d2fwaet2smbydf.cloudfront.net/species/2ar2-gSaKwehRH9M-ar.jpg,Velvet leaf philodendron,84,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,Central South America,,false,false,false,false
26115,Hedera helix ‘Yukihotaru’,English ivy,https://d2fwaet2smbydf.cloudfront.net/species/SkTjaCrbOPbAcLOgFPI.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,Europe,,false,false,false,false
26158,Ficus benjamina Variegata,Weeping fig,https://d2fwaet2smbydf.cloudfront.net/species/kNZJD6YIEVXhSu5ySw_.jpg,,,보통,햇살이 드는 창문 앞|햇살이 드는 실내|햇살이 없지만 밝은 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,India,,false,false,false,false
26226,Epipremnum pinnatum variegata,Centipede tongavine,https://d2fwaet2smbydf.cloudfront.net/species/WmlJVRvJCTYvnuRsjqA.jpg,,,보통,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,South East Asia,,false,false,false,false
26294,Epipremnum pinnatum,Centipede tongavine,https://d2fwaet2smbydf.cloudfront.net/species/NxBJwW_pKThQ4ineMBS.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,South East Asia,,false,false,false,false
26310,Hoya Rotundiflora,,https://d2fwaet2smbydf.cloudfront.net/species/9SHC_qwo_iGqliZoGl3.jpg,,,보통,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,14,The soil should be at least 90% dry before watering again. this means about every 2 weeks in the warm season and about every 4 weeks in the cold season,leaves look a little wrinkled,,18,25,,,40,70,,,,South East Asia,,false,false,false,false
26427,Monstera adansonii 'Mint Variegata',Swiss cheese-plant,https://d2fwaet2smbydf.cloudfront.net/species/9d59E9z2MCMCpVRO2Po.jpg,,,어려움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,South East Asia,,false,false,false,false
26458,Scindapsus Treubii,,https://d2fwaet2smbydf.cloudfront.net/species/3RHkZleLgtDT1Lr4WvB.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,South East Asia,,false,false,false,false
26483,Hoya heuschkeliana variegata,,https://d2fwaet2smbydf.cloudfront.net/species/_oZYWqMWk4GX4CuNn1L.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,14,The soil should be at least 90% dry before watering again. this means about every 2 weeks in the warm season and about every 4 weeks in the cold season,leaves look a little wrinkled,,18,25,,,40,70,,,,Australia,,false,false,false,false
26496,Syngonium podophyllum Red Spot,Arrowhead plant,https://d2fwaet2smbydf.cloudfront.net/species/8BiGSkTDqHzdebd4MjO.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,America,,false,false,false,false
26518,Philodendron Florida Beauty,Philodendrons,https://d2fwaet2smbydf.cloudfront.net/species/BZo1DKbk4QLUUE3dEIk.jpg,,,보통,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,South East Asia,,false,false,false,false
26534,Scindapsus pictus 'Silver Hero',Golden pothos,https://d2fwaet2smbydf.cloudfront.net/species/nKLXEVv3BZvEWFSgePW.jpg,,,쉬움,햇살이 드는 창문 앞|햇살이 드는 실내|식물 조명 빛을 받아요,,the top 2-3 inches of soil is dry,,,18,25,,,40,70,,,,South East Asia,,false,false,false,false